code,exchange,type,country,currency,isin,name
IFFI,AS,ETF,Netherlands,USD,IE00BKPX3K41,iShares MSCI AC Far East ex-Japan UCITS ETF USD Acc
SAWI,AS,ETF,Netherlands,USD,IE00013A2XD6,iShares MSCI ACWI SRI UCITS ETF USD (Dist)
SSAC,AS,ETF,Netherlands,EUR,IE00B6R52259,iShares MSCI ACWI UCITS ETF USD (Acc) EUR
IBZL,AS,ETF,Netherlands,EUR,IE00B0M63516,iShares MSCI Brazil UCITS ETF USD (Dist) EUR
CNYA,AS,ETF,Netherlands,EUR,IE00BQT3WG13,iShares MSCI China A UCITS ETF USD (Acc) EUR
CTEC,AS,ETF,Netherlands,USD,IE000NFR7C63,iShares MSCI China Tech UCITS ETF USD Acc
ICHN,AS,ETF,Netherlands,USD,IE00BJ5JPG56,iShares MSCI China UCITS ETF USD Acc
ICHD,AS,ETF,Netherlands,USD,IE00BL977C92,iShares MSCI China UCITS ETF USD Dist
LAMT,AS,ETF,Netherlands,USD,,iShares MSCI EM Latin America UCITS ETF USD (Acc)
LTAM,AS,ETF,Netherlands,EUR,IE00B27YCK28,iShares MSCI EM Latin America UCITS ETF USD (Dist)
IEMA,AS,ETF,Netherlands,EUR,IE00B4L5YC18,iShares MSCI EM UCITS ETF USD (Acc) EUR
IEMM,AS,ETF,Netherlands,EUR,IE00B0M63177,iShares MSCI EM UCITS ETF USD (Dist) EUR
EXCH,AS,ETF,Netherlands,USD,IE00BMG6Z448,iShares MSCI EM ex-China UCITS ETF USD (Acc)
EXCD,AS,ETF,Netherlands,USD,IE000W8RYVC0,iShares MSCI EM ex-China UCITS ETF USD Dis
EMPA,AS,ETF,Netherlands,EUR,IE00BL6K8D99,iShares MSCI EMU Paris-Aligned Climate UCITS ETF EUR Acc
MPAB,AS,ETF,Netherlands,EUR,IE000FOSCLU1,iShares MSCI EMU Paris-Aligned Climate UCITS ETF EUR Dist
