isin,code,exchange,type,country,currency,name,selection_reason
LU2573966905,AE5A,XETRA,ETF,Germany,EUR,Amundi Msci Emerging Markets II Ucits Etf,preferred_xetra
LU2573967036,LEMA,XETRA,ETF,Germany,EUR,Amundi Core MSCI Emerging Markets Swap UCITS ETF Acc,preferred_xetra
LU2581375073,XUSW,XETRA,ETF,Germany,EUR,Xtrackers MSCI USA Swap UCITS ETF 1D,preferred_xetra
LU2581375156,XSX7,XETRA,ETF,Germany,EUR,Xtrackers Stoxx Europe 600 UCITS ETF 1D,preferred_xetra
LU2581375230,XM1D,XETRA,ETF,Germany,EUR,Xtrackers MSCI Japan UCITS ETF 1D EUR,preferred_xetra
LU2606055775,AK8A,XETRA,ETF,Germany,CHF,Amundi Global Agg SRI 1-5 UCITS ETF DR - HEDGED CHF Accumalation,preferred_xetra
LU2606231335,XGED,LSE,ETF,UK,USD,Xtrackers II Eurozone Government Bond 3-5 UCITS ETF 2C -USD Hedged,fallback_exchange
LU2606231418,XGEP,LSE,ETF,UK,GBP,Xtrackers II Eurozone Government Bond 3-5 UCITS ETF 2D -GBP Hedged,fallback_exchange
LU2608817958,AE5B,XETRA,ETF,Germany,EUR,SICAV Multi Units Luxembourg - Amundi MSCI Europe Climate Action UCITS ETF Dist,preferred_xetra
LU2610432036,XUTG,LSE,ETF,UK,GBP,Xtrackers II US Treasuries UCITS ETF 2C -GBP Hedged,fallback_exchange
LU2611731667,C007,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi MDAX ESG UCITS ETF EUR Distributing,preferred_xetra
LU2611731824,CD91,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi NYSE Arca Gold BUGS UCITS ETF USD Distributing,preferred_xetra
LU2611732046,C001,XETRA,ETF,Germany,EUR,Amundi Core DAX UCITS ETF Dist,preferred_xetra
LU2611732129,C006,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi F.A.Z. 100 UCITS ETF EUR Distributing,preferred_xetra
LU2611732558,C051,F,ETF,Germany,EUR,Lyxor EURO STOXX Select Dividend 30 UCITS ETF,fallback_exchange
LU2611732632,C030,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi DJ Switzerland Titans 30 UCITS ETF CHF Distributing EUR,preferred_xetra
LU2616776444,USCBD,PA,ETF,France,USD,BNP Paribas Easy USD Corp Bond SRI Fossil Free UCITS ETF USD Distribution,fallback_exchange
LU2621112452,PRUB,LSE,ETF,UK,GBP,Amundi Index Solutions - Amundi Prime US Corporates UCITS ETF DR GBP Hedged (D),fallback_exchange
LU2641054122,XE01,XETRA,ETF,Germany,EUR,Xtrackers II Eurozone Government Bond 0-1 UCITS ETF,preferred_xetra
LU2641054551,XG01,XETRA,ETF,Germany,EUR,Xtrackers II Germany Government Bond 0-1 UCITS ETF,preferred_xetra
LU2641925016,EMWD,PA,ETF,France,EUR,BNP PARIBAS EASY MSCI World SRI PAB UCITS ETF EUR DIS,fallback_exchange
LU2655993207,EWLD,PA,ETF,France,EUR,Amundi Index Solutions - Amundi MSCI World UCITS ETF D EUR,fallback_exchange
LU2668197069,CJ1P,LSE,ETF,UK,GBP,Amundi Index Solutions - AUMNDI MSCI JAPAN ESG CLIMATE NET ZERO AMBITION CTB UCITS ETF GBP Dist,fallback_exchange
LU2673523218,XB27,XETRA,ETF,Germany,EUR,Xtrackers II Target Maturity Sept 2027 EUR Corporate Bond UCITS ETF 1D,preferred_xetra
LU2673523309,XB29,XETRA,ETF,Germany,EUR,Xtrackers II Target Maturity Sept 2029 EUR Corporate Bond UCITS ETF 1D,preferred_xetra
LU2673523564,XB33,XETRA,ETF,Germany,EUR,Xtrackers II Target Maturity Sept 2033 EUR Corporate Bond UCITS ETF 1D,preferred_xetra
LU2697596745,BJLN,XETRA,ETF,Germany,EUR,BNP Paribas Easy - Sustainable EUR Corporate Bond UCITS ETF EUR Capitalisation EUR,preferred_xetra
LU2742532745,SRID7,PA,ETF,France,EUR,BNP Paribas Easy â¬ Corp Bond SRI PAB 7-10Y UCITS ETF EUR Distribution,fallback_exchange
LU2742532828,SRIC7,PA,ETF,France,EUR,BNP PARIBAS EASY - EUR Corp Bond SRI PAB 7-10Y UCITS ETF CAPITALISATION,fallback_exchange
LU2742533552,GOD10,PA,ETF,France,EUR,BNP PARIBAS EASY - JPM Tilted EMU Government Bond IG 10Y+ UCITS ETF DISTRIBUTION,fallback_exchange
LU2742533636,GOV10,PA,ETF,France,EUR,BNP Paribas Easy JPM Tilted EMU Government Bond IG 10Y+ UCITS ETF Capitalisation,fallback_exchange
LU2777377875,LCEUD,PA,ETF,France,EUR,BNP Paribas Easy Low Carbon 100 Europe PAB UCITS ETF SD Income,fallback_exchange
LU2780870932,GCRE,XETRA,ETF,Germany,EUR,Amundi Global Corporate SRI 1-5Y Highest Rated UCITS ETF USD Hedged Acc,preferred_xetra
LU2780871310,FM28,PA,ETF,France,EUR,Amundi Index Solutions - Amundi Fixed Maturity 2028 Euro Government Bond Broad UCITS ETFAccumulation,fallback_exchange
LU2780871401,AK8E,XETRA,ETF,Germany,EUR,Amundi Index Solutions - Amundi Fixed Maturity 2028 Euro Government Bond Broad UCITS ETF Income,preferred_xetra
LU2780871823,AK8G,XETRA,ETF,Germany,EUR,Amundi Fixed Maturity 2027 German Bund Government Bond UCITS ETF Dist,preferred_xetra
LU2800573128,EJAPU,PA,ETF,France,USD,BNP Paribas Easy MSCI Japan Min TE UCITS ETF USD Cap,fallback_exchange
LU2807512947,CHSI,XETRA,ETF,Germany,EUR,UBS ETF MSCI World ex USA UCITS ETF USD A-acc,preferred_xetra
LU2823895847,ACE32,PA,ETF,France,EUR,BNP PARIBAS EASY - ESG Enhanced EUR Corp Bond December 2032 UCITS ETF CAPITALISATION,fallback_exchange
